,smiles,sequence,interactions
0,0,0,0
1,2,0,0
2,10,9,1
3,15,14,0
4,18,17,0
5,20,19,1
6,22,21,0
7,26,25,0
8,34,25,0
9,35,33,0
10,40,38,1
11,46,43,0
12,47,44,0
13,48,45,0
14,53,47,1
15,55,49,1
16,59,53,1
17,63,57,0
18,65,58,1
19,68,38,1
20,69,40,1
21,72,63,1
22,75,65,1
23,81,38,1
24,85,72,0
25,90,64,0
26,91,0,1
27,96,80,1
28,100,82,1
29,101,83,1
30,102,33,1
31,106,17,0
32,108,0,0
33,110,72,1
34,113,88,1
35,114,89,0
36,118,3,0
37,120,93,1
38,122,95,1
39,125,97,1
40,126,98,1
41,127,99,1
42,132,35,1
43,134,102,0
44,138,105,1
45,140,102,0
46,142,107,1
47,151,111,0
48,152,112,0
49,154,50,1
50,162,118,0
51,163,119,0
52,165,82,1
53,167,121,1
54,168,122,1
55,170,83,1
56,171,124,1
57,172,83,1
58,176,126,1
59,177,22,1
60,178,127,0
61,182,106,1
62,190,3,0
63,192,3,0
64,194,136,1
65,195,137,0
66,198,9,0
67,200,141,0
68,202,143,1
69,204,17,0
70,213,148,1
71,214,149,0
72,215,72,1
73,217,151,1
74,221,73,0
75,222,155,0
76,224,3,0
77,226,158,1
78,228,160,1
79,233,164,1
80,236,166,1
81,238,168,1
82,239,169,0
83,240,170,1
84,244,174,0
85,249,43,0
86,250,3,0
87,255,61,1
88,257,180,1
89,263,3,0
90,267,185,0
91,269,187,1
92,271,17,1
93,272,189,1
94,274,190,0
95,277,3,1
96,278,136,1
97,282,170,1
98,285,196,0
99,288,199,0
100,289,48,0
101,291,200,0
102,293,202,0
103,297,204,0
104,298,166,1
105,307,82,1
106,310,210,1
107,313,65,0
108,314,158,1
109,315,3,0
110,316,15,1
111,317,212,0
112,321,0,0
113,323,215,0
114,325,217,1
115,326,25,0
116,328,17,0
117,333,220,1
118,336,72,0
119,340,137,0
120,342,72,0
121,344,24,0
122,351,227,0
123,352,228,1
124,354,229,0
125,357,7,0
126,358,3,0
127,365,3,0
128,354,234,0
129,372,3,0
130,374,148,1
131,375,0,0
132,377,239,0
133,126,3,0
134,378,166,1
135,383,182,0
136,386,244,0
137,387,111,0
138,390,32,0
139,391,48,0
140,397,247,1
141,405,249,0
142,406,33,0
143,205,250,0
144,409,149,0
145,411,0,0
146,412,252,1
147,413,86,0
148,417,255,0
149,418,148,1
150,420,9,1
151,421,257,0
152,422,7,1
153,431,261,0
154,436,264,1
155,437,265,0
156,441,202,0
157,443,3,0
158,448,268,1
159,451,270,1
160,453,182,0
161,454,271,1
162,456,82,1
163,463,275,0
164,465,276,1
165,468,279,1
166,470,280,0
167,473,48,0
168,475,256,1
169,478,266,0
170,480,282,1
171,482,284,1
172,490,55,1
173,492,53,0
174,500,228,1
175,505,43,0
176,507,3,0
177,508,294,0
178,509,0,0
179,511,295,0
180,513,187,0
181,514,17,0
182,372,296,1
183,517,298,0
184,520,7,1
185,521,102,0
186,525,300,1
187,528,301,1
188,530,32,0
189,531,137,0
190,535,102,0
191,537,304,1
192,539,204,0
193,542,43,1
194,544,260,1
195,546,48,0
196,547,143,1
197,1,25,0
198,550,310,1
199,551,311,0
200,558,315,1
201,560,0,0
202,561,316,1
203,565,319,0
204,566,320,0
205,569,3,0
206,571,204,0
207,573,322,1
208,583,102,0
209,587,180,1
210,589,7,0
211,590,328,0
212,168,329,1
213,597,53,1
214,599,331,1
215,600,58,1
216,601,332,0
217,604,261,0
218,611,335,1
219,612,86,0
220,613,88,1
221,267,17,0
222,615,336,1
223,628,340,1
224,629,341,1
225,634,89,1
226,638,25,0
227,642,143,1
228,649,0,0
229,650,280,0
230,653,25,0
231,655,347,1
232,656,89,1
233,658,348,1
234,659,49,1
235,465,319,1
236,678,95,1
237,681,0,0
238,682,216,0
239,683,19,1
240,685,358,0
241,689,220,0
242,690,3,0
243,691,169,0
244,692,362,1
245,696,363,0
246,698,364,1
247,703,43,0
248,704,49,1
249,706,369,1
250,708,370,1
251,709,0,0
252,711,371,1
253,714,19,1
254,715,3,0
255,717,374,0
256,718,257,1
257,720,260,0
258,722,187,0
259,728,377,0
260,730,142,0
261,558,160,0
262,733,49,1
263,737,380,1
264,741,160,1
265,268,157,0
266,749,385,0
267,754,86,1
268,756,387,0
269,757,388,0
270,759,390,0
271,760,48,0
272,762,391,1
273,763,3,0
274,764,392,0
275,767,17,0
276,775,189,1
277,776,3,0
278,781,212,1
279,782,82,1
280,383,142,1
281,789,72,0
282,791,105,1
283,794,124,1
284,577,399,0
285,802,22,1
286,803,7,1
287,749,401,1
288,804,402,1
