,smiles,sequence,interactions
0,5,4,0
1,7,6,0
2,11,10,0
3,12,11,0
4,13,12,1
5,14,13,0
6,15,14,0
7,18,17,0
8,20,19,1
9,23,22,1
10,27,26,0
11,28,27,1
12,29,28,1
13,31,30,1
14,32,31,1
15,34,25,0
16,38,36,0
17,40,38,1
18,43,40,1
19,45,42,0
20,46,43,0
21,47,44,0
22,49,5,0
23,51,40,1
24,56,50,1
25,59,53,1
26,60,54,0
27,61,55,1
28,64,47,1
29,66,59,0
30,67,60,0
31,69,40,1
32,76,66,0
33,79,69,1
34,81,38,1
35,82,71,0
36,84,66,0
37,87,73,1
38,88,74,1
39,89,75,1
40,93,77,0
41,96,80,1
42,101,83,1
43,102,33,1
44,106,17,0
45,109,77,0
46,114,89,0
47,116,91,1
48,120,93,1
49,121,94,1
50,122,95,1
51,124,96,0
52,125,97,1
53,128,39,1
54,129,100,1
55,131,54,1
56,133,101,0
57,135,103,1
58,136,18,0
59,137,104,1
60,141,42,0
61,142,107,1
62,143,39,1
63,144,108,1
64,145,77,0
65,146,75,1
66,149,18,0
67,151,111,0
68,154,50,1
69,155,114,1
70,156,5,0
71,158,50,0
72,161,17,0
73,162,118,0
74,166,120,0
75,170,83,1
76,174,125,0
77,177,22,1
78,179,128,0
79,184,18,0
80,185,35,1
81,186,131,0
82,89,133,0
83,189,135,1
84,191,18,0
85,193,135,1
86,194,136,1
87,199,140,1
88,203,13,0
89,205,144,0
90,206,103,1
91,207,39,1
92,208,50,1
93,209,145,1
94,211,39,1
95,216,150,0
96,219,153,1
97,220,154,0
98,221,73,0
99,223,156,0
100,231,50,1
101,232,163,0
102,233,164,1
103,234,48,0
104,235,165,1
105,238,168,1
106,239,169,0
107,240,170,1
108,246,175,0
109,247,125,1
110,248,176,1
111,249,43,0
112,252,177,1
113,254,179,1
114,255,61,1
115,257,180,1
116,258,77,0
117,260,181,0
118,264,19,0
119,271,17,1
120,272,189,1
121,273,26,0
122,274,190,0
123,276,192,1
124,278,136,1
125,282,170,1
126,287,198,0
127,289,48,0
128,292,201,0
129,295,203,0
130,297,204,0
131,299,205,1
132,301,206,0
133,306,209,1
134,310,210,1
135,146,133,0
136,314,158,1
137,317,212,0
138,318,213,0
139,319,214,1
140,322,169,0
141,323,215,0
142,324,41,0
143,326,25,0
144,328,17,0
145,329,214,0
146,335,222,0
147,341,18,0
148,344,24,0
149,347,189,1
150,350,226,1
151,351,227,0
152,355,25,0
153,356,75,1
154,359,11,0
155,360,38,0
156,362,230,1
157,363,101,1
158,79,142,1
159,369,235,0
160,370,236,1
161,371,158,0
