,smiles,sequence,interactions
0,798,348,0
1,9980,7,0
2,880,26,0
3,7753,725,0
4,3977,279,1
5,5382,112,0
6,11678,18,0
7,6981,287,0
8,3360,77,0
9,13809,100,1
10,1034,52,0
11,5037,35,1
12,160,985,1
13,1920,343,1
14,13566,52,0
15,3524,577,1
16,3383,271,1
17,13030,1002,1
18,2030,189,1
19,2011,306,0
20,4107,813,1
21,8173,214,0
22,11164,470,0
23,14490,188,0
24,1875,254,0
25,4739,22,0
26,5913,3,0
27,4703,374,1
28,14239,420,1
29,295,203,0
30,13147,42,0
31,4957,77,0
32,1102,810,0
33,3146,67,1
34,1532,385,0
35,11206,445,1
36,5701,491,0
37,5051,3,0
38,3087,375,1
39,7728,877,0
40,7685,37,0
41,7638,1721,0
42,3155,254,0
43,166,61,1
44,3392,100,1
45,914,37,0
46,10776,1432,0
47,2621,3,0
48,7877,93,1
49,11612,77,0
50,6776,35,1
51,10833,73,1
52,3870,937,1
53,12772,210,1
54,11055,26,1
55,4135,381,0
56,2427,402,1
57,4202,0,0
58,9948,1539,0
59,6337,219,1
60,268,329,0
61,12118,278,1
62,7817,67,1
63,7136,48,0
64,8188,699,1
65,5289,228,1
66,5955,425,1
67,9269,343,1
68,9214,77,0
69,2246,33,1
70,7078,862,1
71,14609,77,0
72,13937,128,0
73,1959,1625,0
74,11179,542,0
75,2961,17,0
76,5437,369,1
77,13487,67,1
78,1410,229,1
79,1807,390,0
80,7505,261,0
81,943,220,1
82,8311,67,1
83,4488,852,0
84,3278,18,0
85,11841,77,0
86,6916,26,0
87,6904,521,1
88,1042,1580,0
89,13598,1145,0
90,3961,557,0
91,4887,246,1
92,11403,23,0
93,10613,18,0
94,12713,42,0
95,3716,72,1
96,1241,456,0
97,5206,94,0
98,9173,3,0
99,10362,257,1
100,9108,495,0
101,14000,750,1
102,2581,3,0
103,11265,3,0
104,949,139,1
105,12291,77,0
106,6059,17,0
107,12123,908,1
108,6424,404,1
109,12728,438,0
110,1552,439,1
111,690,3,0
112,9192,926,0
113,10146,3,0
114,3707,134,1
115,3099,34,0
116,4040,126,1
117,1615,461,0
118,2335,634,0
119,3239,77,0
120,7658,42,0
121,904,223,0
122,8831,214,0
123,969,223,0
124,3567,307,1
125,2364,214,0
126,3895,160,0
127,8137,39,1
128,6987,68,0
129,9437,126,1
130,1280,93,0
131,5830,508,0
132,49,817,0
133,11043,770,1
134,13583,35,1
135,4203,362,0
136,9224,948,0
137,1331,311,0
138,1081,204,0
139,6584,17,0
140,4454,26,0
141,8953,375,1
142,8872,18,0
143,8262,119,0
144,6145,204,0
145,3832,220,1
146,4906,1172,0
147,649,0,0
148,782,3,0
149,943,1566,0
150,14127,176,1
151,240,170,1
152,8650,750,1
153,14076,18,0
154,3561,989,1
155,12943,9,1
156,7273,89,0
157,5932,140,1
158,11693,831,1
159,267,31,0
160,11703,3,0
161,6711,100,1
162,8678,404,1
163,5400,77,0
164,7901,297,0
165,2913,3,0
166,708,17,0
167,2621,242,0
168,13660,637,1
169,3674,91,1
170,9030,272,1
171,5876,67,1
172,8267,222,0
173,197,17,0
174,230,348,1
175,4644,404,0
176,8036,148,1
177,10991,17,0
178,4896,60,0
179,4393,446,0
180,2927,920,1
181,4516,997,0
182,1967,195,0
183,6175,200,0
184,10901,3,0
185,5287,445,1
186,12931,557,0
187,1870,43,0
188,5766,242,1
189,6934,188,1
190,12413,3,0
191,12780,102,0
192,12694,34,1
193,1399,37,0
194,13192,1011,1
195,9407,3,0
196,1989,17,0
197,3692,3,0
198,9018,264,1
199,10617,39,1
200,2557,443,1
201,10721,809,0
202,1074,230,1
203,5854,1272,1
204,13497,18,0
205,1344,1023,0
206,2010,3,0
207,5523,112,1
208,4174,504,0
209,2323,8,1
210,9875,66,0
211,4258,248,1
212,900,343,0
213,4701,149,0
214,2291,25,0
215,1990,32,0
216,10773,259,1
217,390,32,0
218,5085,230,0
219,1439,405,1
220,5921,427,1
221,6361,936,0
222,6973,464,1
223,3304,17,0
224,8567,171,0
225,4681,22,0
226,4261,1859,1
227,5868,182,0
228,9438,0,0
229,8157,176,1
230,783,654,0
231,10250,25,0
232,5285,327,1
233,12806,56,0
234,2115,539,0
235,13019,18,0
236,1611,100,1
237,1730,204,0
238,10987,412,0
239,8879,35,1
240,3263,32,0
241,13004,579,1
242,156,242,1
243,14250,797,1
244,1959,272,1
245,1197,2477,1
246,472,691,1
247,9776,2118,0
248,863,1780,0
249,14444,965,1
250,1609,0,0
251,265,542,1
252,10628,52,0
253,2004,115,0
254,4755,1481,0
255,427,142,0
256,40,329,0
257,998,98,1
258,3036,39,0
259,1492,83,1
260,8729,52,0
261,5918,363,0
262,2005,90,0
263,1216,132,0
264,9963,42,0
265,14311,194,1
266,3638,3,0
267,12603,264,1
268,14293,68,0
269,10735,817,0
270,4048,322,0
271,9493,73,0
272,8083,17,0
273,1080,493,0
274,6029,0,0
275,8600,246,0
276,2584,102,0
277,5447,52,0
278,3473,1483,0
279,3182,149,0
280,494,290,0
281,11259,49,1
282,5745,189,1
283,2923,1171,0
284,1645,18,0
285,10647,168,1
286,10380,374,0
287,1831,405,0
288,14518,18,0
289,10048,1310,0
290,49,1807,0
291,1736,833,1
292,7126,39,0
293,13412,29,0
294,6044,109,0
295,6522,242,0
296,1046,2220,0
297,3480,43,1
298,5781,216,0
299,8394,56,0
300,3356,35,1
301,106,1266,0
302,4123,119,0
303,5208,242,1
304,1004,42,0
305,13488,219,1
306,7720,98,1
307,8590,125,1
308,6241,196,0
309,9091,1276,1
310,8067,170,1
311,1422,25,0
312,2382,534,1
313,12098,83,1
314,1751,137,0
315,9548,589,1
316,7719,895,0
317,14286,77,0
318,5814,750,1
319,839,539,0
320,4607,926,0
321,14389,607,1
322,13918,104,1
323,8865,73,1
324,7824,82,1
325,12002,55,1
326,1197,25,0
327,288,246,0
328,5770,418,0
329,4012,551,1
330,7098,256,1
331,12298,412,0
332,8870,743,0
333,6828,67,0
334,10634,18,0
335,13810,67,1
336,1522,1760,0
337,1220,878,1
338,7220,100,0
339,3512,3,0
340,302,15,1
341,9105,365,0
342,3134,60,0
343,902,3,0
344,249,242,1
345,2167,269,1
346,8918,283,1
347,1314,113,0
348,10878,178,0
349,302,44,1
350,4389,1015,1
351,6915,52,0
352,12224,243,1
353,6189,176,0
354,10050,68,0
355,3635,52,0
356,3186,409,1
357,4005,101,0
358,1744,1331,0
359,10837,196,0
360,1919,204,0
361,849,104,0
362,314,25,0
363,4196,140,0
364,268,219,0
365,305,13,0
366,6454,553,0
367,3914,219,1
368,1601,1558,0
369,7816,68,0
370,3911,310,0
371,6505,527,1
372,219,1725,0
373,8081,220,0
374,6510,0,0
375,8843,18,0
376,7053,100,1
377,4578,91,1
378,55,153,0
379,243,24,0
380,7082,583,0
381,3247,3,0
382,6109,460,1
383,11449,1221,0
384,566,682,0
385,9106,286,1
386,12671,485,0
387,4030,91,1
388,11344,77,0
389,3598,772,1
390,5970,128,0
391,3650,37,0
392,7387,1119,0
393,6327,827,1
394,6017,77,0
395,11621,189,1
396,355,1237,0
397,5482,551,1
398,8198,272,1
399,1250,100,1
400,4610,41,0
401,1303,440,1
402,5568,27,1
403,11338,89,0
404,5216,86,0
405,7865,7,0
406,7264,2179,1
407,13315,1626,0
408,13796,67,1
409,12245,77,0
410,6008,32,0
411,6505,2092,0
412,9063,60,0
413,12853,96,0
414,292,201,0
415,9326,584,0
416,10744,374,0
417,10055,549,1
418,11768,41,0
419,3027,1291,0
420,4947,490,0
421,9937,17,0
422,2871,52,0
423,4795,204,0
424,4549,330,0
425,5180,358,1
426,9988,592,0
427,421,460,0
428,4678,442,0
429,3420,76,0
430,3692,18,0
431,3168,2233,0
432,9881,442,0
433,13181,219,1
434,9715,514,0
435,10,778,1
436,630,519,1
437,9916,243,0
438,231,50,1
439,3696,445,1
440,4012,76,0
441,6380,67,1
442,2311,1,0
443,5825,358,1
444,830,413,1
445,8896,1687,1
446,2115,0,0
447,8667,200,0
448,8602,16,0
449,1870,1499,0
450,3692,197,0
451,5741,37,0
452,1966,539,0
453,501,353,0
454,2364,405,0
455,11941,211,1
456,880,440,1
457,12325,156,1
458,5634,17,0
459,8065,197,0
460,6772,93,1
461,11083,72,0
462,5806,48,0
463,12807,412,1
464,8691,1346,1
465,841,23,0
466,10826,77,0
467,401,7,0
468,10116,780,1
469,1816,0,0
470,10984,204,0
471,11137,39,1
472,12909,104,1
473,12154,9,1
474,13099,242,1
475,10150,204,0
476,13688,148,1
477,14316,40,1
478,7863,49,1
479,13657,908,0
480,7172,33,0
481,6764,60,0
482,2779,8,1
483,540,35,1
484,12150,202,0
485,1778,562,0
486,908,1011,0
487,4359,242,1
488,8537,47,1
489,3445,117,0
490,2080,100,1
491,7488,344,0
492,2909,109,0
493,7430,196,0
494,14402,228,0
495,3235,398,1
496,8311,18,0
497,14087,35,1
498,823,402,0
499,880,918,0
500,863,269,0
501,7276,26,0
502,305,185,0
503,4973,353,0
504,3825,1021,1
505,6183,67,1
506,13026,965,1
507,8273,0,0
508,8476,148,1
509,9077,1047,1
510,271,41,0
511,589,214,0
512,4393,219,0
513,934,107,0
514,6563,77,0
515,10481,44,0
516,2220,428,1
517,7015,5,0
518,1903,428,1
519,2864,462,0
520,4904,52,0
521,8661,1442,1
522,1767,807,1
523,2052,465,0
524,11598,52,0
525,1780,91,1
526,12868,704,0
527,1340,40,1
528,9189,219,1
529,69,271,0
530,513,172,0
531,8340,3,0
532,12676,264,1
533,7206,818,0
534,159,386,0
535,242,772,1
536,11564,39,1
537,3650,48,0
538,8375,365,0
539,2918,40,1
540,4334,836,0
541,3331,392,0
542,2269,3,0
543,10171,52,0
544,5287,13,0
545,13267,343,1
546,2136,1021,0
547,8201,122,0
548,5742,1602,1
549,3231,460,0
550,8377,248,1
551,10062,42,0
552,3800,48,0
553,4825,48,0
554,5845,170,1
555,8678,141,1
556,9891,86,0
557,96,87,0
558,6114,17,0
559,2781,256,0
560,5966,147,1
561,10737,512,1
562,1443,18,0
563,12362,613,1
564,6532,1534,0
565,5925,39,1
566,12212,613,1
567,2227,44,1
568,12702,575,0
569,1484,754,0
570,3287,35,1
571,4977,365,1
572,1376,17,0
573,890,67,1
574,6106,1723,0
575,5621,687,1
576,6969,243,1
577,12822,136,1
578,6929,19,0
579,2873,307,0
580,1870,147,0
581,13731,133,0
582,2430,836,1
583,5737,39,0
584,11891,3,0
585,3277,111,0
586,12091,521,1
587,11274,212,1
588,13802,99,1
589,6807,106,1
590,11355,75,1
591,7646,100,1
592,8928,204,0
593,8679,343,1
594,2255,48,0
595,20,318,0
596,2935,166,1
597,2560,187,1
598,11705,126,1
599,1588,369,1
600,8386,1311,1
601,4645,1477,0
602,10516,35,1
603,827,3,0
604,9110,1687,1
605,38,92,0
606,7966,1205,1
607,5172,234,0
608,579,323,0
609,4522,37,0
610,9569,269,0
611,10978,405,0
612,12901,1312,0
613,1251,404,0
614,8250,0,0
615,5179,418,0
616,5002,827,1
617,5199,1,0
618,661,34,1
619,12567,100,1
620,10345,65,1
621,2763,19,0
622,3223,2500,1
623,10060,39,1
624,3943,515,0
625,1866,228,0
626,7367,329,0
627,10205,3,0
628,5742,0,0
629,5654,547,0
630,6831,67,1
631,949,17,0
632,9598,142,1
633,7344,1557,1
634,4869,92,0
635,6144,32,0
636,14362,2528,0
637,6121,926,0
638,3091,35,1
639,100,82,1
640,3753,0,0
641,8503,100,0
642,13877,37,0
643,5909,272,1
644,943,399,0
645,8470,86,0
646,10178,86,0
647,12586,40,1
648,5364,1239,1
649,3549,478,1
650,10423,548,1
651,7407,557,0
652,1309,709,0
653,10146,17,0
654,5007,187,0
655,2464,18,0
656,14502,232,1
657,23,668,1
658,13544,40,1
659,626,338,1
660,1221,3,0
661,5300,322,0
662,13133,409,1
663,4980,48,1
664,8657,7,0
665,1634,278,1
666,1565,106,1
667,8986,223,0
668,10304,326,0
669,1719,77,0
670,12411,187,0
671,2202,77,0
672,2633,100,1
673,7161,101,0
674,5048,749,0
675,6786,653,0
676,998,0,0
677,8464,73,1
678,6514,347,1
679,9770,100,1
680,13917,343,1
681,2026,228,0
682,13321,3,0
683,13574,77,0
684,3339,67,1
685,9946,15,1
686,12217,82,1
687,13360,66,1
688,7393,100,1
689,9219,157,0
690,5798,40,1
691,12687,557,0
692,1496,473,1
693,11197,1293,1
694,242,290,0
695,12614,547,0
696,12538,348,1
697,1088,376,0
698,4062,1468,0
699,3593,103,1
700,8634,91,0
701,4570,48,0
702,6562,148,1
703,2509,198,0
704,6164,93,0
705,3149,17,0
706,1897,3,0
707,1246,543,1
708,6757,297,0
709,2891,77,0
710,3207,228,1
711,9509,212,0
712,2479,84,1
713,5663,891,1
714,12199,7,0
715,938,19,1
716,1396,1592,0
717,7830,198,0
718,9344,50,1
719,4948,343,1
720,1344,195,0
721,3646,1272,1
722,1696,7,1
723,10744,109,1
724,1650,491,0
725,5673,311,0
726,11560,264,1
727,472,1525,1
728,5397,140,0
729,11870,208,1
730,7328,0,0
731,550,831,0
732,9718,126,1
733,378,46,0
734,4439,246,0
735,6758,1321,0
736,10618,98,1
737,7241,242,0
738,7255,459,0
739,2563,3,0
740,3123,539,1
741,1469,608,0
742,1233,438,0
743,13470,3,0
744,3405,77,0
