,smiles,sequence,interactions
0,2,2,0
1,3,3,1
2,4,4,0
3,5,5,1
4,6,6,0
5,7,7,0
6,8,8,1
7,10,10,1
8,17,17,1
9,18,18,1
10,21,21,0
11,24,24,1
12,26,26,0
13,28,28,0
14,30,30,0
15,33,33,0
16,34,34,0
17,36,36,1
18,37,37,1
19,39,39,0
20,41,41,1
21,44,14,1
22,45,44,0
23,46,45,0
24,50,47,0
25,51,48,1
26,52,49,1
27,54,51,0
28,57,55,1
29,60,58,1
30,61,27,1
31,62,59,0
32,63,60,1
33,65,62,1
34,68,65,0
35,80,74,1
36,81,75,0
37,88,82,0
38,91,85,0
39,92,86,1
40,93,87,1
41,95,60,1
42,96,29,1
43,97,89,0
44,98,90,1
45,99,91,0
46,101,14,1
47,102,28,0
48,106,96,1
49,111,101,0
50,115,104,1
51,117,109,0
52,122,115,1
53,126,118,1
54,9,119,0
55,127,120,0
56,133,126,0
57,134,127,0
58,135,128,1
59,136,129,0
60,137,130,1
61,143,134,0
62,144,135,0
63,145,127,0
64,146,136,1
65,147,137,0
66,150,140,1
67,153,8,1
68,157,146,0
69,159,148,1
70,160,149,1
71,162,149,1
72,173,160,0
73,174,161,0
74,176,163,1
75,178,165,0
76,179,166,1
77,182,167,1
78,187,169,1
79,188,148,1
80,192,60,1
81,194,172,0
82,197,175,0
83,203,179,0
84,206,181,0
85,208,183,0
86,209,184,1
87,211,185,1
88,214,188,0
89,215,189,1
90,218,192,1
91,219,193,0
92,221,195,1
93,222,196,0
94,224,198,0
95,225,199,1
96,232,203,0
97,241,209,0
98,244,101,1
99,245,212,0
100,248,214,1
101,249,215,0
102,250,216,0
103,251,217,1
104,65,223,1
105,262,226,0
106,65,238,1
107,274,241,0
108,135,14,1
109,278,245,0
110,280,247,0
111,281,248,1
112,282,198,0
113,287,74,1
114,289,92,1
115,296,258,1
116,298,259,0
117,301,262,1
118,302,263,0
119,65,264,1
120,304,49,0
121,306,243,0
122,184,266,1
123,311,253,1
124,315,271,0
125,317,272,1
126,318,273,1
127,324,5,1
128,329,253,1
129,332,286,0
130,337,253,1
131,341,291,0
132,343,293,1
133,68,294,0
134,345,130,1
135,346,296,1
136,349,297,0
137,350,298,0
138,354,8,0
139,358,304,1
140,361,305,1
141,364,306,0
142,365,307,0
143,369,310,0
144,374,237,1
145,376,317,0
146,381,319,0
147,382,320,0
148,383,148,1
149,385,323,0
150,386,324,0
151,390,326,0
152,391,328,0
153,405,340,1
154,407,87,1
155,409,342,1
156,411,41,0
157,412,29,1
158,419,348,0
159,423,260,0
160,425,165,0
161,426,118,1
162,427,351,0
163,429,353,0
164,431,355,0
165,433,356,0
166,211,194,1
167,437,359,0
168,439,160,0
169,444,49,0
170,50,366,0
171,452,368,0
172,454,370,0
173,455,371,0
174,456,372,1
175,457,373,0
176,459,375,1
177,124,14,1
178,460,376,0
179,467,383,0
180,471,186,1
181,473,387,0
182,474,389,0
183,476,391,1
184,478,393,0
185,480,394,0
186,481,395,0
187,485,398,0
188,490,402,1
189,491,249,0
190,494,82,0
191,496,406,0
192,497,37,1
193,65,407,1
194,510,81,0
195,511,418,1
196,52,153,1
197,514,420,0
198,518,423,1
199,521,424,1
200,354,429,1
201,534,433,1
202,45,438,0
203,540,297,0
204,541,440,0
205,542,441,0
206,544,443,0
207,547,417,1
208,548,92,1
209,549,443,1
210,551,445,0
211,326,447,0
212,553,448,0
213,555,343,0
214,556,114,1
215,557,449,0
216,560,451,0
217,65,452,1
218,562,453,1
219,564,455,0
220,567,456,0
221,569,458,0
222,396,253,1
223,572,459,0
224,573,460,1
225,576,462,1
226,578,465,0
227,582,467,0
228,583,468,1
229,585,140,1
230,587,470,0
231,589,8,1
232,590,472,0
233,591,370,0
234,594,474,0
235,598,478,0
236,599,480,1
237,451,481,0
238,337,92,1
239,606,27,1
240,609,249,0
241,612,202,1
242,615,148,1
243,617,492,0
244,619,90,0
245,532,29,1
246,57,136,1
247,623,496,0
248,65,497,1
249,396,499,0
250,628,501,0
251,629,502,0
252,498,505,1
253,102,506,0
254,632,507,1
255,510,508,0
256,633,509,0
257,637,266,0
258,638,14,1
259,641,513,0
260,643,516,0
261,644,517,0
262,647,192,0
263,654,118,1
264,656,525,1
265,18,526,1
266,659,528,0
267,660,14,1
268,661,529,0
269,662,530,1
270,665,296,1
271,667,533,0
272,670,535,0
273,673,538,1
274,674,539,0
275,678,148,1
276,681,542,0
277,126,545,1
278,684,169,1
279,688,548,0
280,182,549,1
281,693,553,0
282,695,554,0
283,697,555,0
284,699,557,1
285,702,560,1
286,264,29,1
287,703,562,0
288,709,566,1
289,710,567,0
290,714,118,1
291,716,295,1
292,95,148,1
293,721,273,0
294,724,573,0
295,727,296,1
296,728,575,0
297,732,577,1
298,733,579,0
299,79,581,0
300,736,583,0
301,743,588,0
302,748,347,0
303,187,594,1
304,750,595,0
305,755,29,1
306,756,345,0
307,758,294,0
308,619,598,1
309,762,601,0
310,764,602,0
311,767,605,0
312,768,606,0
313,547,608,0
314,777,172,1
315,779,615,0
316,125,3,1
317,532,617,0
318,785,618,0
319,786,621,0
320,358,7,0
321,206,572,0
322,344,148,1
323,789,623,0
324,790,624,1
325,791,625,1
326,792,433,1
327,793,626,0
328,795,5,1
329,798,629,0
330,802,633,1
331,803,524,0
332,807,636,0
333,810,147,1
334,153,194,1
335,706,128,1
336,812,640,1
337,813,148,1
338,814,104,1
339,816,643,1
340,818,118,1
341,820,103,1
342,821,645,0
343,279,647,1
344,823,648,0
345,824,649,1
346,825,650,0
347,827,647,0
348,828,652,0
349,829,17,0
350,833,654,1
351,547,655,0
352,181,118,1
353,836,361,0
354,840,657,1
355,841,658,0
356,845,342,1
357,848,87,0
358,852,111,1
359,813,668,1
360,858,671,1
361,860,673,0
362,852,674,0
363,861,675,1
364,532,676,0
365,776,678,0
366,578,680,0
367,251,60,1
368,721,14,1
369,867,682,0
370,57,546,0
371,872,686,0
372,873,189,1
373,875,687,0
374,881,516,0
375,882,692,0
376,884,693,1
377,885,560,1
378,313,255,0
379,706,694,1
380,887,695,0
381,385,550,1
382,704,698,1
383,895,364,0
384,896,648,1
385,897,702,1
386,899,706,1
387,901,262,1
388,905,266,0
389,151,29,1
390,907,204,1
391,908,64,0
392,913,20,0
393,65,710,1
394,915,712,0
395,919,715,0
396,921,718,0
397,922,640,0
398,923,273,1
399,887,273,1
400,928,723,0
401,934,114,0
402,840,729,0
403,935,730,0
404,940,546,0
