,smiles,sequence,interactions
0,0,0,0
1,1,1,1
2,2,2,0
3,6,6,0
4,10,10,1
5,12,12,0
6,18,18,1
7,21,21,0
8,23,23,1
9,25,25,0
10,26,26,0
11,28,28,0
12,30,30,0
13,32,32,1
14,34,34,0
15,35,35,1
16,36,36,1
17,38,38,1
18,39,39,0
19,41,41,1
20,42,42,0
21,51,48,1
22,54,51,0
23,56,53,0
24,58,56,0
25,59,57,0
26,62,59,0
27,65,62,1
28,66,63,0
29,67,64,1
30,69,66,0
31,70,67,1
32,74,71,0
33,76,29,1
34,78,73,1
35,84,78,0
36,85,79,0
37,86,80,1
38,90,84,1
39,92,86,1
40,93,87,1
41,96,29,1
42,97,89,0
43,98,90,1
44,99,91,0
45,102,28,0
46,103,93,0
47,106,96,1
48,108,98,0
49,112,51,1
50,113,102,0
51,114,103,0
52,55,107,0
53,116,108,0
54,119,111,1
55,122,115,1
56,123,116,1
57,126,118,1
58,9,119,0
59,128,121,0
60,130,123,1
61,131,124,0
62,132,125,1
63,135,128,1
64,136,129,0
65,137,130,1
66,138,77,1
67,145,127,0
68,146,136,1
69,152,141,1
70,13,143,1
71,154,144,1
72,156,145,0
73,72,147,1
74,158,77,1
75,160,149,1
76,161,150,0
77,162,149,1
78,163,151,0
79,166,138,1
80,167,154,0
81,171,77,1
82,172,158,0
83,173,160,0
84,174,161,0
85,176,163,1
86,178,165,0
87,183,168,1
88,187,169,1
89,188,148,1
90,189,170,0
91,195,173,1
92,196,174,0
93,197,175,0
94,198,176,1
95,201,177,0
96,202,178,0
97,204,180,0
98,205,88,1
99,206,181,0
100,207,182,0
101,209,184,1
102,212,186,1
103,214,188,0
104,215,189,1
105,217,191,0
106,218,192,1
107,219,193,0
108,220,194,1
109,223,197,0
110,224,198,0
111,225,199,1
112,226,200,0
113,231,77,1
114,233,23,0
115,234,204,1
116,239,208,1
117,240,77,1
118,241,209,0
119,242,210,0
120,246,77,1
121,247,213,0
122,248,214,1
123,251,217,1
124,252,218,1
125,72,125,1
126,254,220,1
127,255,221,0
128,65,223,1
129,257,18,1
130,259,111,1
131,261,225,0
132,262,226,0
133,265,230,0
134,267,232,1
135,269,234,0
136,270,235,0
137,72,237,1
138,65,238,1
139,272,239,0
140,273,240,1
141,278,245,0
142,280,247,0
143,282,198,0
