,smiles,sequence,interactions
0,291,556,1
1,1976,215,0
2,4167,1374,0
3,256,464,1
4,794,849,1
5,65,1469,1
6,1096,833,1
7,1111,1825,1
8,3165,201,0
9,264,60,1
10,1599,1217,1
11,3188,1644,0
12,893,2017,1
13,1133,643,1
14,2288,2114,1
15,946,2112,0
16,4415,309,1
17,1232,111,1
18,729,118,1
19,35,95,1
20,3146,281,1
21,199,106,1
22,3884,2004,0
23,3551,468,1
24,66,144,1
25,886,1030,1
26,3771,710,1
27,3709,889,1
28,260,69,1
29,2640,1961,0
30,590,118,1
31,4260,216,0
32,439,190,0
33,708,396,1
34,94,80,1
35,1686,609,1
36,3316,1291,0
37,499,66,0
38,2414,1558,0
39,2791,14,1
40,3724,1537,1
41,2738,1255,1
42,71,2108,0
43,492,403,1
44,635,1515,1
45,1940,237,1
46,18,18,1
47,3626,1625,0
48,480,1487,0
49,2935,1309,0
50,2317,436,0
51,338,1567,1
52,1007,87,1
53,1958,1051,0
54,3077,1675,0
55,377,136,1
56,1662,1071,0
57,1685,170,0
58,65,1210,1
59,218,192,1
60,2050,472,0
61,4316,1483,0
62,1415,823,0
63,1278,538,0
64,3098,917,0
65,3086,118,1
66,2994,411,0
67,1218,1583,1
68,3350,1487,0
69,352,690,0
70,2016,693,0
71,2470,538,1
72,1144,94,1
73,1360,67,1
74,2743,19,1
75,4346,594,0
76,2708,566,1
77,1243,934,0
78,2092,313,0
79,2889,254,0
80,13,1612,0
81,3972,544,0
82,3733,1391,1
83,1034,819,0
84,2969,628,1
85,2147,1253,0
86,1285,1523,0
87,4019,859,1
88,490,1662,0
89,2516,1646,0
90,3531,14,1
91,549,443,1
92,191,256,0
93,553,148,1
94,195,849,1
95,2881,270,0
96,1461,125,1
97,4202,243,0
98,761,347,1
99,943,148,1
100,1373,1285,1
101,1109,92,0
102,870,100,1
103,2901,1,1
104,1045,217,0
105,4217,259,0
106,776,148,1
107,4220,90,1
108,2985,72,1
109,3313,77,1
110,1609,149,1
111,622,495,0
112,595,77,1
113,1200,847,1
114,4465,1235,1
115,613,510,0
116,1259,722,0
117,1770,1703,0
118,267,1662,1
119,2483,1770,0
120,558,339,1
121,450,367,0
122,522,1880,0
123,3503,2030,0
124,2299,75,1
125,4082,1409,0
126,2552,911,0
127,102,544,1
128,2242,2001,0
129,2656,1492,0
130,1630,635,0
131,985,29,1
132,2293,29,0
133,728,575,0
134,3687,1983,0
135,1849,540,0
136,189,1628,0
137,1354,147,0
138,1921,1709,0
139,3327,658,0
140,2047,1866,1
141,4449,396,1
142,78,73,1
143,1940,74,1
144,3068,1771,0
145,2829,3,0
146,4461,58,1
147,2970,616,1
148,1300,10,1
149,1765,895,0
150,2112,859,0
151,1259,1901,1
152,3994,722,0
153,120,927,0
154,1671,1894,0
155,284,106,1
156,1334,1018,0
157,1322,868,0
158,1940,538,1
159,798,531,0
160,3841,1697,0
161,3361,348,0
162,428,332,1
163,3582,1337,0
164,4354,677,1
165,63,118,1
166,3118,85,1
167,3591,1268,0
168,1326,765,0
169,4059,1241,0
170,2268,1451,1
171,4302,1925,0
172,1386,322,1
173,1598,1014,0
174,3673,1278,1
175,2383,375,1
176,45,67,1
177,496,1561,0
178,3947,111,1
179,2641,60,1
180,3882,115,0
181,1461,505,1
182,788,67,1
183,3037,1706,1
184,4041,611,0
185,465,878,0
186,1923,1417,0
187,2668,323,1
188,2274,1588,1
189,1003,37,1
190,1005,511,0
191,2200,603,1
192,980,1059,0
193,16,169,1
194,1307,2052,0
195,911,897,0
196,2678,636,0
197,378,458,0
198,141,295,1
199,486,116,0
200,1250,270,1
201,997,771,0
202,3632,147,0
203,1923,1609,0
204,472,514,1
205,794,561,1
206,1658,90,0
207,1568,1459,0
208,340,652,0
209,2825,1311,0
210,1126,1657,0
211,4192,103,1
212,3133,429,0
213,3009,731,0
214,2559,2040,0
215,1947,1443,0
216,3354,1318,1
217,1988,1365,0
218,49,148,1
219,1475,1072,0
220,997,1000,1
221,813,1560,1
222,2915,2060,0
223,1063,1302,1
224,3605,144,1
225,109,380,1
226,3347,1167,1
227,1063,616,1
228,2094,1092,0
229,1843,1156,1
230,4197,120,0
231,718,94,1
232,1294,1748,0
233,345,235,1
234,3876,1899,1
235,305,67,1
236,2717,144,0
237,1940,378,1
238,175,77,1
239,3826,1193,0
240,932,296,1
241,2928,523,1
242,1922,1679,0
243,420,106,1
244,1909,138,0
245,2420,1170,0
246,2157,1086,0
247,717,575,1
248,342,292,0
249,2563,1670,0
250,714,118,1
251,453,77,1
252,3278,123,0
253,2472,1529,1
254,2637,322,0
255,1563,1567,1
256,3087,1766,0
257,3341,1747,0
258,3497,304,1
259,4352,522,1
260,3432,1220,0
261,544,194,1
262,220,138,1
263,1891,1306,0
264,3796,106,1
265,826,1073,1
266,1371,717,0
267,1021,880,0
268,1531,1511,1
269,511,418,1
270,3068,95,1
271,2962,148,1
272,425,165,0
273,2665,1949,1
274,2810,805,1
275,109,1609,1
276,2578,1537,0
277,1007,1969,1
278,1473,550,1
279,1995,1307,0
280,1237,1612,1
281,1291,964,0
282,1297,959,0
283,615,1581,0
284,894,998,1
285,451,25,0
286,1437,1379,0
287,1831,0,0
288,504,29,1
