,smiles,sequence,interactions
0,1,1,1
1,2,2,1
2,3,3,1
3,5,5,0
4,8,8,1
5,11,11,0
6,15,3,1
7,16,15,1
8,22,21,0
9,23,22,0
10,24,23,0
11,27,26,1
12,32,31,0
13,33,1,1
14,20,33,1
15,36,35,0
16,37,37,0
17,39,40,1
18,40,41,0
19,25,42,1
20,42,44,0
21,43,45,0
22,45,30,1
23,46,46,0
24,49,1,1
25,39,51,1
26,54,53,1
27,55,1,1
28,57,55,0
29,72,67,0
30,73,68,0
31,75,70,0
32,77,73,0
33,78,3,1
34,79,53,1
35,39,75,1
36,85,80,0
37,20,82,1
38,90,84,0
39,92,86,0
40,94,88,1
41,39,90,1
42,42,91,0
43,96,93,0
44,98,95,0
45,107,104,0
46,110,1,1
47,111,108,1
48,112,109,0
49,20,110,1
50,39,112,1
51,115,1,1
52,118,92,1
53,23,117,0
54,119,118,1
55,120,1,1
56,20,124,1
57,126,125,0
58,127,128,0
59,129,130,1
60,132,132,0
61,33,1,1
62,134,1,0
63,137,2,1
64,59,136,0
65,142,145,0
66,143,147,1
67,144,148,0
68,148,46,0
69,151,153,0
70,143,156,1
71,154,158,0
72,156,160,1
73,158,163,0
74,6,164,0
75,39,170,1
76,166,173,0
77,167,174,0
78,170,1,1
79,171,175,0
80,172,1,1
81,39,160,1
82,47,181,0
83,120,2,1
84,178,182,0
85,182,186,0
86,187,189,1
87,59,193,0
88,20,200,1
89,197,139,1
90,65,204,0
91,199,2,1
92,200,1,1
93,202,206,0
94,203,207,0
95,162,208,0
96,204,1,1
97,39,210,1
98,207,211,0
99,192,212,0
100,209,3,1
101,75,214,0
102,211,215,0
103,74,217,0
104,214,219,0
105,20,220,1
106,215,221,0
107,218,225,0
108,219,227,0
109,221,228,0
110,224,231,0
111,229,71,1
112,20,239,1
113,232,240,0
114,121,241,1
115,187,243,1
116,234,54,0
117,235,8,1
118,20,183,1
119,236,246,0
120,42,247,0
121,20,249,1
122,25,170,1
123,240,234,1
124,20,252,1
125,242,15,1
126,134,254,0
127,214,181,0
128,39,260,1
129,246,8,1
130,203,3,1
131,248,2,1
132,232,265,0
133,134,266,0
134,94,42,1
135,97,273,0
136,265,278,0
137,121,280,1
138,121,281,1
139,80,234,1
140,273,286,0
141,276,1,1
142,279,292,0
143,281,294,0
144,283,139,1
145,92,299,0
146,39,220,1
147,20,71,1
148,119,118,1
149,295,129,0
150,296,307,0
151,159,311,0
152,14,318,0
153,49,319,1
154,0,167,0
155,303,1,1
156,39,320,1
157,304,2,1
158,305,321,0
159,307,1,1
160,82,328,0
161,315,334,0
162,319,338,1
163,321,178,1
164,326,1,1
165,327,1,1
166,329,1,1
167,177,26,1
168,330,117,1
169,80,178,1
170,332,346,1
171,333,349,0
172,20,183,1
173,334,351,0
174,86,358,0
175,49,1,1
176,197,139,1
177,341,283,1
178,343,367,0
179,346,369,0
180,347,1,1
181,348,370,0
182,39,151,1
183,350,372,0
184,14,373,0
185,355,151,1
186,178,1,1
187,305,375,0
188,39,377,1
189,94,178,1
190,42,139,0
191,135,380,0
192,42,381,0
193,362,1,1
194,363,1,1
195,39,296,1
196,365,387,1
197,39,44,1
198,20,391,1
199,121,112,1
200,305,393,0
201,277,397,0
202,374,399,1
203,300,403,0
204,14,144,0
205,20,170,1
206,237,404,0
207,91,406,1
208,384,139,1
209,386,412,1
210,39,26,1
211,139,416,0
212,33,1,1
213,39,417,1
214,393,422,1
215,23,423,0
216,14,22,0
217,395,335,0
218,396,220,1
219,154,426,0
220,400,428,0
221,379,169,0
222,401,429,0
223,402,1,1
224,403,1,1
225,405,430,0
226,407,432,1
227,411,15,1
228,413,436,0
229,417,439,0
230,105,441,1
231,74,274,0
232,419,443,1
233,20,183,1
234,420,445,0
235,421,446,1
236,422,449,0
237,15,83,1
238,423,437,1
239,424,2,1
240,426,451,0
241,428,452,0
242,430,71,1
243,431,455,0
244,98,456,0
245,433,459,0
246,421,465,1
247,23,467,0
248,20,469,1
249,214,470,0
250,20,471,1
251,439,422,1
252,23,358,0
253,20,476,1
254,292,72,1
255,441,278,0
256,443,480,1
257,39,483,1
258,422,484,0
259,256,170,1
260,452,1,1
261,453,489,0
262,151,490,0
263,24,465,0
264,457,473,0
265,458,310,0
266,105,497,1
267,228,151,1
268,459,499,1
269,460,500,0
270,461,200,0
271,228,377,1
272,39,296,1
273,463,505,1
274,73,507,0
275,420,509,0
276,105,510,1
277,177,26,1
278,86,514,0
279,86,372,0
280,473,515,0
281,20,518,1
282,3,519,1
283,476,2,1
284,477,522,0
285,215,523,0
286,478,524,0
287,39,117,1
288,20,530,1
289,105,265,1
290,228,151,1
291,482,128,0
292,484,139,1
293,275,532,0
294,42,533,0
295,181,534,0
296,421,535,1
297,485,536,0
298,177,26,1
299,486,228,0
300,196,540,0
301,142,541,0
302,490,238,0
303,39,15,1
304,402,1,1
305,39,108,1
306,496,545,0
307,497,546,1
308,20,536,1
309,499,549,0
310,160,550,0
311,224,553,0
312,20,480,1
313,504,318,0
314,20,541,1
315,508,406,1
316,511,349,0
317,514,271,0
318,91,563,1
319,515,564,0
320,23,565,0
321,150,46,0
322,516,71,1
323,248,1,1
324,121,331,1
325,372,569,0
326,256,571,1
327,519,1,1
328,520,459,0
329,15,575,1
330,20,576,1
331,523,577,0
332,134,246,0
333,524,579,0
334,39,580,1
335,525,224,0
336,526,446,1
337,279,582,0
338,187,585,1
339,532,139,1
340,74,576,0
341,20,71,1
342,55,2,1
343,39,588,1
344,393,422,1
345,536,592,1
346,97,593,0
347,486,594,0
348,98,286,0
349,538,596,0
350,539,519,1
351,176,597,0
352,39,510,1
353,223,220,1
354,15,26,1
355,548,611,1
356,549,612,1
357,228,614,1
358,551,30,1
359,49,1,1
360,553,617,1
361,556,620,0
362,53,622,0
363,557,338,1
364,558,139,1
365,277,624,0
366,559,625,0
367,14,626,0
368,20,628,1
369,25,118,1
370,564,530,1
371,565,398,1
372,568,433,0
373,39,151,1
374,490,633,0
375,569,634,0
376,15,83,1
377,459,183,1
378,571,130,1
379,573,1,1
380,574,641,0
381,575,642,1
382,281,582,0
383,511,646,0
384,20,647,1
385,577,437,1
386,465,578,1
387,578,148,0
388,582,194,0
389,583,534,0
390,584,233,0
391,490,452,0
392,276,1,1
393,224,655,0
394,39,398,1
395,224,659,0
396,590,660,1
397,39,663,1
398,91,667,1
399,602,671,1
400,605,15,1
401,365,580,1
402,39,674,1
403,610,53,1
404,611,675,0
405,20,676,1
406,613,130,1
407,615,117,1
408,616,443,1
409,619,8,1
410,300,128,0
411,466,685,0
412,621,686,0
413,515,430,0
414,105,628,1
415,622,687,0
416,1,283,1
417,624,1,1
418,24,689,0
419,181,92,0
420,181,696,0
421,603,697,1
422,279,699,0
423,568,701,0
424,632,1,1
425,422,703,0
426,39,41,1
427,177,26,1
428,39,706,1
429,514,714,0
430,639,474,1
431,590,474,1
432,473,452,0
