,smiles,sequence,interactions
0,0,0,0
1,1,1,1
2,5,5,0
3,6,6,0
4,8,8,1
5,10,10,1
6,12,12,0
7,13,13,0
8,14,14,0
9,15,3,1
10,20,19,1
11,21,20,0
12,22,21,0
13,25,24,1
14,27,26,1
15,31,30,1
16,32,31,0
17,33,1,1
18,36,35,0
19,31,36,1
20,37,37,0
21,20,39,1
22,25,42,1
23,41,43,0
24,42,44,0
25,43,45,0
26,44,32,0
27,46,46,0
28,49,1,1
29,51,49,0
30,13,50,0
31,53,52,0
32,54,53,1
33,55,1,1
34,56,54,0
35,57,55,0
36,14,56,0
37,61,59,0
38,62,2,1
39,64,53,1
40,67,8,1
41,31,63,1
42,68,13,0
43,70,65,0
44,71,66,0
45,72,67,0
46,73,68,0
47,76,71,1
48,52,72,1
49,77,73,0
50,78,3,1
51,79,53,1
52,81,76,0
53,84,79,1
54,85,80,0
55,86,81,0
56,20,82,1
57,88,83,1
58,90,84,0
59,92,86,0
60,94,88,1
61,42,91,0
62,67,92,1
63,99,96,0
64,66,98,0
65,100,1,1
66,105,103,1
67,107,104,0
68,108,105,0
69,20,106,1
70,111,108,1
71,112,109,0
72,20,110,1
73,114,113,1
74,115,1,1
75,116,114,0
76,117,115,0
77,118,92,1
78,81,116,0
79,23,117,0
80,120,1,1
81,123,1,1
82,124,121,0
83,56,0,0
84,31,122,1
85,126,125,0
86,20,106,1
87,128,129,1
88,132,132,0
89,133,133,0
90,33,1,1
91,134,1,0
92,135,134,0
93,138,139,0
94,139,140,0
95,141,143,0
96,31,144,1
97,143,146,1
98,143,147,1
99,145,149,0
100,147,150,0
101,148,46,0
102,149,151,1
103,150,152,0
104,152,154,1
105,31,155,1
106,53,157,0
107,153,1,1
108,155,159,0
109,156,160,1
110,20,162,1
111,6,164,0
112,159,165,0
113,160,140,0
114,20,166,1
115,163,169,0
116,164,172,0
117,20,149,1
118,168,173,0
119,169,139,1
120,170,1,1
121,171,175,0
122,172,1,1
123,174,177,0
124,175,178,1
125,176,179,0
126,177,180,1
127,47,181,0
128,120,2,1
129,179,20,0
130,182,186,0
131,183,187,0
132,184,178,1
133,185,65,0
134,187,189,1
135,188,190,0
136,189,191,1
137,191,194,0
138,94,195,1
139,192,196,0
140,193,197,0
141,194,35,0
142,71,198,0
143,196,199,0
