,smiles,sequence,interactions
0,31,144,1
1,804,279,0
2,318,28,0
3,1672,1215,1
4,1538,4,1
5,252,1590,0
6,1139,117,1
7,9,910,0
8,788,1258,0
9,33,1,1
10,134,435,0
11,39,237,1
12,31,903,1
13,357,1322,0
14,31,1436,1
15,20,443,1
16,104,1763,0
17,31,144,1
18,31,176,1
19,1626,1,1
20,1085,385,0
21,20,376,1
22,20,25,1
23,570,547,0
24,94,25,1
25,428,452,0
26,23,1633,0
27,759,1095,0
28,724,365,0
29,31,374,1
30,179,1010,0
31,790,465,0
32,20,1800,1
33,489,1153,1
34,39,69,1
35,1381,1023,1
36,160,1384,0
37,39,25,1
38,983,1127,1
39,692,782,0
40,601,343,1
41,135,380,0
42,1419,25,1
43,18,25,1
44,401,1024,0
45,31,1037,1
46,746,223,0
47,55,1,1
48,600,860,0
49,31,1729,1
50,177,1674,1
51,31,1318,1
52,157,310,0
53,1245,18,0
54,1018,1,1
55,561,655,0
56,722,1,1
57,341,1,1
58,283,139,1
59,1503,1118,1
60,20,82,1
61,196,268,0
62,60,637,0
63,15,151,1
64,43,45,0
65,31,430,1
66,66,621,0
67,1221,1270,0
68,34,1452,0
69,117,934,0
70,508,1616,1
71,763,542,0
72,105,103,1
73,1014,440,1
74,134,1820,0
75,599,190,0
76,23,562,0
77,388,880,0
78,790,1304,0
79,597,72,1
80,360,330,0
81,379,1692,0
82,18,257,1
83,815,700,0
84,56,321,0
85,292,72,1
86,237,11,0
87,383,79,1
88,39,685,1
89,923,15,1
90,31,1632,1
91,94,1491,1
92,20,1189,1
93,599,1005,0
94,224,1054,0
95,20,1566,1
96,318,508,0
97,138,944,0
98,259,474,1
99,1366,1,1
100,39,112,1
101,251,1,1
102,1492,53,1
103,215,221,0
104,31,1258,1
105,1351,1526,1
106,649,779,0
107,388,1256,0
108,60,1073,0
109,66,101,0
110,187,503,0
111,850,92,1
112,5,1050,0
113,86,1384,0
114,372,569,0
115,666,1,0
116,412,243,0
117,254,261,1
118,524,579,0
119,138,833,0
120,407,425,1
121,53,607,0
122,1004,1147,0
123,892,48,1
124,1064,474,1
125,426,88,0
126,192,212,0
127,1081,544,0
128,752,25,1
129,331,918,0
130,1093,641,0
131,9,490,0
132,1095,505,1
133,211,728,0
134,742,242,0
135,323,1,1
136,237,1658,0
137,210,213,0
138,112,615,0
139,20,1100,1
140,775,191,1
141,450,151,1
142,659,1,1
143,183,515,0
144,2,2,1
145,1547,1699,0
146,652,25,1
147,821,385,0
148,198,323,0
149,144,520,0
150,452,1,1
151,1720,117,1
152,94,15,1
153,223,25,1
154,1576,592,1
155,706,1434,0
156,252,486,0
157,572,1737,0
158,261,246,0
159,287,1,1
160,626,785,0
161,31,1125,1
162,875,440,1
163,105,617,1
164,508,1798,1
165,978,1355,0
166,508,151,1
167,157,99,0
168,39,1475,1
169,144,148,0
170,15,863,1
171,134,1814,0
172,471,606,1
173,784,139,1
174,56,167,0
175,408,433,0
176,1378,1,1
177,379,1068,0
178,20,210,1
179,176,173,0
180,1090,25,1
181,205,1119,1
