,smiles,sequence,interactions
0,3,3,1
1,4,4,0
2,5,5,1
3,9,9,1
4,11,11,0
5,13,12,1
6,15,14,0
7,16,15,0
8,17,16,0
9,18,3,1
10,19,17,1
11,22,20,0
12,23,21,1
13,25,23,0
14,26,24,0
15,28,27,0
16,31,30,0
17,32,28,1
18,33,28,1
19,34,32,0
20,38,3,1
21,39,36,0
22,42,39,0
23,43,40,1
24,46,43,0
25,47,44,1
26,50,48,0
27,53,28,1
28,54,54,1
29,55,55,1
30,60,60,0
31,66,66,0
32,70,70,0
33,73,75,0
34,77,78,0
35,79,80,0
36,83,84,0
37,84,85,1
38,85,86,0
39,87,88,0
40,92,92,0
41,93,93,1
42,94,9,1
43,96,9,1
44,97,95,0
45,98,56,0
46,99,9,1
47,100,97,0
48,103,101,0
49,61,103,0
50,23,104,1
51,107,106,1
52,108,107,0
53,23,109,1
54,112,112,0
55,114,114,0
56,116,116,0
57,76,9,1
58,119,119,0
59,125,124,0
60,127,3,1
61,129,89,1
62,137,135,0
63,140,139,0
64,145,146,1
65,9,150,1
66,150,152,0
67,151,154,1
68,153,157,0
69,154,44,1
70,161,164,1
71,9,172,1
72,170,174,0
73,175,180,0
74,176,9,1
75,184,191,0
76,188,196,0
77,189,5,1
78,191,3,1
79,192,198,1
80,198,204,1
81,199,205,0
82,200,206,0
83,50,195,0
84,202,209,0
85,32,28,1
86,149,213,0
87,206,28,1
88,208,28,1
89,211,220,0
90,214,223,0
91,217,225,0
92,219,227,1
93,220,28,1
94,226,28,1
95,25,232,0
96,32,28,1
97,227,233,1
98,229,235,0
99,230,3,1
100,234,198,1
101,55,244,1
102,236,245,0
103,237,246,0
104,209,247,0
105,238,248,0
106,240,5,1
107,244,255,1
108,247,258,1
109,249,260,0
110,253,264,0
111,254,265,0
112,257,9,1
113,23,271,1
114,262,44,1
115,263,9,1
116,265,122,1
117,266,9,1
118,267,181,0
119,234,28,1
120,270,282,1
121,271,206,0
122,272,284,0
123,222,285,0
124,274,64,0
125,23,290,1
126,82,9,1
127,278,150,1
128,280,293,0
129,281,294,1
130,286,299,0
131,287,300,0
132,38,301,1
133,288,302,0
134,289,9,1
135,240,28,1
136,6,304,0
137,263,9,1
138,295,306,1
139,297,310,0
140,307,320,0
141,308,321,1
142,312,3,1
143,304,326,0
144,317,9,1
145,23,321,1
146,323,334,0
147,327,28,1
148,330,340,0
149,53,28,1
150,331,341,1
151,333,104,0
152,335,28,1
153,337,344,1
154,339,345,0
155,342,235,0
156,344,81,1
157,354,18,1
158,357,84,0
159,361,85,1
160,363,258,1
161,365,366,1
162,153,70,0
163,373,376,0
164,23,15,1
165,374,378,1
166,376,28,1
167,378,381,0
168,379,9,1
169,381,384,0
170,383,386,0
171,385,389,0
172,388,393,0
173,25,396,0
174,392,9,1
175,53,28,1
176,395,402,0
177,396,403,0
178,397,405,0
179,398,44,1
180,400,407,1
181,26,35,0
182,50,410,0
183,404,413,0
184,161,150,1
185,406,206,0
186,407,414,0
187,89,9,1
188,99,416,1
189,28,417,0
190,412,419,0
191,414,9,1
192,418,424,0
193,420,425,1
194,423,153,1
195,424,428,0
196,425,429,0
197,426,431,0
198,427,432,0
199,429,433,0
200,431,28,1
201,433,437,0
202,434,438,0
203,435,439,0
204,437,442,1
205,438,445,0
206,416,446,1
207,439,5,1
208,440,447,0
209,441,9,1
210,155,451,1
211,445,452,1
212,447,431,0
213,448,455,1
214,450,457,1
215,452,460,1
216,454,28,1
217,457,463,0
218,459,420,0
219,462,28,1
220,463,467,0
221,466,468,1
222,469,271,1
223,466,3,1
224,317,150,1
225,470,475,1
226,471,458,0
227,473,476,0
228,475,344,0
229,476,44,1
230,68,480,0
231,479,3,1
232,319,481,1
233,481,485,0
234,482,315,1
235,483,106,1
236,488,491,0
237,489,279,1
238,366,494,0
239,65,495,0
240,496,500,0
241,499,3,1
242,366,502,0
243,500,24,0
244,501,503,0
245,508,509,0
246,510,3,1
247,513,475,1
248,515,297,1
249,516,516,1
250,23,3,1
251,521,44,1
252,526,526,0
253,531,530,0
254,533,9,1
255,535,531,0
256,264,535,0
257,536,312,0
258,538,28,1
259,312,3,1
260,539,538,0
261,541,539,0
262,543,9,1
263,544,9,1
264,546,542,0
265,553,549,0
266,25,552,0
267,555,553,1
268,567,564,0
269,570,568,0
270,571,569,0
271,577,28,1
272,579,9,1
273,582,580,0
274,583,28,1
275,588,198,1
276,589,28,1
277,25,587,0
278,214,589,0
279,591,583,0
280,368,590,0
281,517,195,0
282,189,28,1
283,3,3,1
284,593,89,1
285,594,102,0
286,31,4,0
287,50,597,0
288,599,599,1
289,22,603,0
290,466,81,1
291,605,28,1
292,606,85,1
293,608,28,1
294,611,565,1
295,169,613,1
296,577,28,1
297,612,202,1
298,613,28,1
299,23,620,1
300,617,28,1
301,618,565,1
302,619,9,1
303,624,114,1
304,629,28,1
305,631,28,1
306,634,633,0
307,635,635,0
308,23,638,1
309,637,640,0
310,638,641,0
311,99,9,1
312,639,255,1
313,363,256,1
314,640,4,0
315,260,646,0
316,644,434,0
317,645,28,1
318,646,589,1
319,222,648,0
320,648,28,1
321,649,649,0
322,651,650,0
323,652,256,1
324,466,9,1
325,655,28,1
326,609,655,0
327,223,28,1
328,660,658,0
329,25,445,0
330,23,659,1
331,420,3,1
332,662,661,0
333,663,9,1
334,23,664,1
335,74,44,1
336,620,670,1
337,671,102,0
338,672,28,1
339,529,671,0
340,615,673,0
341,280,674,0
342,674,281,1
343,676,3,1
344,677,9,1
345,678,675,0
346,140,248,0
347,684,589,0
348,685,679,0
349,676,425,1
350,32,28,1
351,579,9,1
352,89,145,1
353,438,687,0
354,690,688,1
355,697,85,1
356,558,633,1
357,701,28,1
358,9,699,1
359,23,701,1
360,708,703,0
361,712,44,1
362,65,713,0
363,720,122,1
364,724,122,1
365,725,28,1
366,727,717,1
367,654,718,0
368,731,722,0
369,732,723,0
370,735,726,0
371,736,727,1
372,737,438,0
373,740,718,0
374,744,731,1
375,745,124,0
376,747,733,0
377,234,28,1
378,34,737,0
379,751,28,1
380,752,738,0
