,smiles,sequence,interactions
0,0,0,0
1,2,2,0
2,3,3,1
3,5,5,1
4,10,10,0
5,11,11,0
6,12,9,1
7,15,14,0
8,16,15,0
9,17,16,0
10,18,3,1
11,20,18,1
12,24,22,1
13,25,23,0
14,29,28,1
15,30,29,1
16,31,30,0
17,33,28,1
18,36,34,0
19,37,35,0
20,38,3,1
21,39,36,0
22,46,43,0
23,48,45,0
24,8,49,1
25,8,50,1
26,51,51,1
27,54,54,1
28,55,55,1
29,56,56,0
30,57,57,0
31,58,58,1
32,59,28,1
33,62,62,1
34,64,64,0
35,67,67,0
36,68,68,0
37,69,69,1
38,71,72,0
39,8,73,1
40,76,77,1
41,77,78,0
42,78,79,0
43,81,82,0
44,83,84,0
45,84,85,1
46,85,86,0
47,90,91,0
48,91,85,1
49,92,92,0
50,94,9,1
51,96,9,1
52,97,95,0
53,51,55,1
54,98,56,0
55,8,96,1
56,101,99,0
57,103,101,0
58,105,105,0
59,106,92,0
60,108,107,0
61,109,108,0
62,110,110,0
63,111,111,1
64,112,112,0
65,113,113,1
66,116,116,0
67,117,117,1
68,76,9,1
69,121,120,0
70,122,121,0
71,124,123,1
72,125,124,0
73,121,125,0
74,126,127,0
75,130,69,1
76,134,132,0
77,136,134,0
78,137,135,0
79,139,137,0
80,8,138,1
81,141,140,1
82,143,143,1
83,144,144,0
84,130,145,1
85,8,53,1
86,146,147,1
87,148,149,0
88,149,151,0
89,160,163,0
90,161,164,1
91,162,9,1
92,165,168,1
93,166,169,0
94,167,170,1
95,168,171,0
96,174,178,0
97,175,180,0
98,65,182,0
99,8,186,1
100,181,187,0
101,182,189,0
102,183,190,0
103,8,192,1
104,185,193,1
105,186,9,1
106,138,194,0
107,188,196,0
108,191,3,1
109,193,199,0
110,190,201,0
111,162,9,1
112,194,202,1
113,195,28,1
114,196,203,0
115,198,204,1
116,199,205,0
117,58,207,1
118,201,208,0
119,8,211,1
120,204,212,0
121,149,213,0
122,205,214,0
123,8,215,1
124,206,28,1
125,208,28,1
126,209,218,0
127,210,219,0
128,211,220,0
129,144,221,0
130,213,222,0
131,215,224,0
132,216,34,0
133,218,226,1
134,219,227,1
135,220,28,1
136,221,228,0
137,24,9,1
138,223,211,1
139,224,176,0
140,228,234,0
141,229,235,0
142,230,3,1
143,175,239,0
144,8,241,1
145,209,247,0
146,238,248,0
147,240,5,1
148,51,253,1
149,243,254,1
150,244,255,1
151,245,256,1
152,247,258,1
153,248,259,0
154,249,260,0
155,252,263,1
156,254,265,0
157,255,266,0
158,256,28,1
159,257,9,1
160,130,267,1
161,258,268,1
162,8,269,1
163,259,270,0
164,25,277,0
165,268,280,0
166,269,281,1
167,234,28,1
168,272,284,0
169,222,285,0
170,274,64,0
171,275,288,0
172,276,289,0
173,277,292,0
174,278,150,1
175,279,9,1
176,130,9,1
177,281,294,1
178,282,295,0
179,285,298,1
180,287,300,0
181,288,302,0
182,240,28,1
183,290,303,0
184,293,218,0
185,47,307,1
186,296,309,1
187,300,312,0
188,302,313,0
189,303,314,0
190,8,315,1
191,304,316,0
192,305,317,0
193,307,320,0
194,310,324,0
195,312,3,1
196,314,202,1
197,304,326,0
198,315,327,1
199,317,9,1
200,284,69,1
201,318,9,1
202,320,331,0
203,323,334,0
204,325,335,0
205,8,337,1
206,130,338,1
207,327,28,1
208,328,339,0
209,329,256,1
210,330,340,0
211,331,341,1
212,333,104,0
213,334,342,0
214,337,344,1
215,339,345,0
216,341,347,1
217,343,28,1
218,344,81,1
219,198,26,1
220,347,350,0
221,348,351,0
222,349,352,0
223,350,353,0
224,351,355,0
225,352,356,0
226,354,18,1
227,355,358,0
228,356,359,1
229,357,84,0
230,358,9,1
231,359,360,0
232,361,85,1
233,362,211,1
234,363,258,1
235,364,365,0
236,365,366,1
237,366,240,0
238,8,369,1
239,370,371,0
240,373,376,0
241,8,377,1
242,375,147,0
243,377,379,0
244,8,380,1
245,380,382,1
246,381,384,0
247,383,386,0
248,384,387,0
249,228,388,0
250,386,390,0
251,387,392,0
252,388,393,0
253,392,9,1
254,324,399,1
255,393,401,0
256,394,196,0
257,395,402,0
258,396,403,0
259,399,406,0
260,8,408,1
261,401,409,0
262,50,410,0
263,404,413,0
